l1_filters,l2_filters,l3_filters,batch_size,learn_rate,score,cost_s,size
4.00124955,5.0052348,5.27480577,288.81199276,-2.39448185,0.90681779384613,0,1
7.86988758,7.60609377,8.30868159,485.71982131,-4.78692316,0.903317213058472,0,1
4.27232312,4.39168271,8.27907206,507.53905364,-1.51765861,0.889814972877502,0,1
8.66367467,6.5332128,4.98042266,44.83349992,-3.34607715,0.900150001049042,0,1
6.99240496,4.44212257,5.28136712,232.96369551,-2.32864406,0.897149503231049,0,1
6.48260084,4.58387744,8.67181401,420.20854403,-5.35293118,0.87147855758667,0,1
5.33146,5.20712088,6.34277324,155.00026128,-5.49548339,0.897816300392151,0,1
4.27278241,8.55435567,6.32904323,353.68816248,-4.10458128,0.896482765674591,0,1
5.50179528,6.75431272,7.63536188,238.16670745,-5.72707967,0.887481272220612,0,1
7.70590013,5.90379792,4.85428732,62.79852573,-1.67332203,0.904150664806366,0,1
8.23096184,6.20114886,5.99372648,461.42062638,-4.56561122,0.884980857372284,0,1
6.67712386,8.32437397,4.96756791,183.25166102,-5.96768412,0.901816964149475,0,1
8.77448353,7.10695059,8.39603194,439.75892987,-2.32606525,0.894982516765595,0,1
5.36475594,7.90821572,4.07554929,338.61764146,-4.11425213,0.887481272220612,0,1
7.00256939,6.29916609,8.92033754,128.46050854,-5.63047829,0.878146350383759,0,1
7.92591944,7.50551844,6.42347502,343.69386097,-2.08561212,0.872645437717438,0,1
4.14580381,5.42818824,4.9128246,57.09994325,-0.42386066,0.867644608020783,0,1
5.73983293,8.48956609,6.80361741,432.67354543,-4.16074191,0.678946495056152,0,1
4.78225078,5.62941521,5.89142223,226.37328454,-3.23473126,0.890148341655731,0,1
5.45643373,7.54044964,7.31468167,449.25930993,-2.66319344,0.892482101917267,0,1
8.01294185,6.06419125,4.02513277,86.94156544,-1.0046109,0.900150001049042,0,1
6.07985451,8.79640856,7.73040769,50.27715041,-1.2931034,0.895149171352387,0,1
8.09368274,7.93573683,5.34589641,170.77731122,-1.93400445,0.894649088382721,0,1
8.87196417,8.40690256,5.32793591,485.67366589,-5.74059242,0.906317710876465,0,1
6.15692853,5.71677769,6.80716289,212.10146835,-3.19465646,0.885647594928742,0,1
