C,gamma,size,validation_score,time_s
1.000000000000000062e-09,1.000000000000000036e-10,7.812500000000000000e-03,1.196751315488446543e-01,8.127053737640380637e-01
1.000000000000000082e-05,1.000000000000000036e-10,7.812500000000000000e-03,1.196751315488446543e-01,8.749794960021972656e-01
1.000000000000000000e+00,1.000000000000000036e-10,7.812500000000000000e-03,1.196751315488446543e-01,8.298590183258056641e-01
1.000000000000000000e+05,1.000000000000000036e-10,7.812500000000000000e-03,8.548387096774193727e-01,1.422083377838134766e-01
1.000000000000000000e+09,1.000000000000000036e-10,7.812500000000000000e-03,8.548387096774193727e-01,1.762697696685791016e-01
1.000000000000000062e-09,1.000000000000000082e-05,7.812500000000000000e-03,1.196751315488446543e-01,2.387757301330566406e-01
1.000000000000000082e-05,1.000000000000000082e-05,7.812500000000000000e-03,1.196751315488446543e-01,2.717826366424560547e-01
1.000000000000000000e+00,1.000000000000000082e-05,7.812500000000000000e-03,1.260809883321894476e-01,2.423868179321289062e-01
1.000000000000000000e+05,1.000000000000000082e-05,7.812500000000000000e-03,1.367650423244108904e-01,2.451303005218505859e-01
1.000000000000000000e+09,1.000000000000000082e-05,7.812500000000000000e-03,1.367650423244108904e-01,1.976075172424316406e-01
1.000000000000000062e-09,1.000000000000000000e+00,7.812500000000000000e-03,1.196751315488446543e-01,2.316098213195800781e-01
1.000000000000000082e-05,1.000000000000000000e+00,7.812500000000000000e-03,1.196751315488446543e-01,2.608816623687744141e-01
1.000000000000000000e+00,1.000000000000000000e+00,7.812500000000000000e-03,1.196751315488446543e-01,2.454283237457275391e-01
1.000000000000000000e+05,1.000000000000000000e+00,7.812500000000000000e-03,1.196751315488446543e-01,2.526404857635498047e-01
1.000000000000000000e+09,1.000000000000000000e+00,7.812500000000000000e-03,1.196751315488446543e-01,2.429039478302001953e-01
1.000000000000000062e-09,1.000000000000000000e+05,7.812500000000000000e-03,1.196751315488446543e-01,2.388367652893066406e-01
1.000000000000000082e-05,1.000000000000000000e+05,7.812500000000000000e-03,1.196751315488446543e-01,2.475352287292480469e-01
1.000000000000000000e+00,1.000000000000000000e+05,7.812500000000000000e-03,1.196751315488446543e-01,2.359590530395507812e-01
1.000000000000000000e+05,1.000000000000000000e+05,7.812500000000000000e-03,1.196751315488446543e-01,2.721562385559082031e-01
1.000000000000000000e+09,1.000000000000000000e+05,7.812500000000000000e-03,1.196751315488446543e-01,2.377049922943115234e-01
1.000000000000000062e-09,1.000000000000000000e+10,7.812500000000000000e-03,1.196751315488446543e-01,2.605011463165283203e-01
1.000000000000000082e-05,1.000000000000000000e+10,7.812500000000000000e-03,1.196751315488446543e-01,2.402963638305664062e-01
1.000000000000000000e+00,1.000000000000000000e+10,7.812500000000000000e-03,1.196751315488446543e-01,2.381644248962402344e-01
1.000000000000000000e+05,1.000000000000000000e+10,7.812500000000000000e-03,1.196751315488446543e-01,2.317655086517333984e-01
1.000000000000000000e+09,1.000000000000000000e+10,7.812500000000000000e-03,1.196751315488446543e-01,2.587990760803222656e-01
1.000000000000000062e-09,1.000000000000000036e-10,1.562500000000000000e-02,1.365456821026282963e-01,6.596422195434570312e-01
1.000000000000000082e-05,1.000000000000000036e-10,1.562500000000000000e-02,1.365456821026282963e-01,6.511454582214355469e-01
1.000000000000000000e+00,1.000000000000000036e-10,1.562500000000000000e-02,1.365456821026282963e-01,6.714887619018554688e-01
1.000000000000000000e+05,1.000000000000000036e-10,1.562500000000000000e-02,8.569518716577538830e-01,3.082191944122314453e-01
1.000000000000000000e+09,1.000000000000000036e-10,1.562500000000000000e-02,8.569518716577538830e-01,2.868363857269287109e-01
1.000000000000000062e-09,1.000000000000000082e-05,1.562500000000000000e-02,1.205882352941176627e-01,6.395053863525390625e-01
1.000000000000000082e-05,1.000000000000000082e-05,1.562500000000000000e-02,1.205882352941176627e-01,6.575806140899658203e-01
1.000000000000000000e+00,1.000000000000000082e-05,1.562500000000000000e-02,1.600864717260211678e-01,7.858607769012451172e-01
1.000000000000000000e+05,1.000000000000000082e-05,1.562500000000000000e-02,1.664978950961429338e-01,7.007055282592773438e-01
1.000000000000000000e+09,1.000000000000000082e-05,1.562500000000000000e-02,1.664978950961429338e-01,7.257411479949951172e-01
1.000000000000000062e-09,1.000000000000000000e+00,1.562500000000000000e-02,1.173967459324155305e-01,7.037389278411865234e-01
1.000000000000000082e-05,1.000000000000000000e+00,1.562500000000000000e-02,1.173967459324155305e-01,7.157618999481201172e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.562500000000000000e-02,1.173967459324155305e-01,7.751038074493408203e-01
1.000000000000000000e+05,1.000000000000000000e+00,1.562500000000000000e-02,1.173967459324155305e-01,8.048529624938964844e-01
1.000000000000000000e+09,1.000000000000000000e+00,1.562500000000000000e-02,1.173967459324155305e-01,7.287614345550537109e-01
